BCIC	4.3	0.0	1.5	0.0	1.5	0.5	1.5	1.0	6
BEAM	3.6	2.0	1.0	0.0	0.0	2.0	0.0	0.0	7
BCRX	3.2	0.5	0.0	1.0	1.0	2.0	0.0	0.0	6
VPK.NV	3.2	0.5	1.0	0.0	1.0	1.0	1.0	0.0	5
WKL.NV	3.2	0.0	0.5	0.0	2.0	1.0	1.0	0.0	5
BETR	5.7	1.5	2.0	0.0	2.0	1.0	1.0	0.5	7
BGC	3.6	1.0	1.0	0.0	1.5	1.0	0.5	0.0	7
BIDU	3.6	0.5	2.0	0.0	0.5	1.0	1.0	0.0	7
BJRI	3.2	1.5	0.5	0.0	1.0	1.0	0.5	0.0	7
BKYI	2.5	0.0	2.0	0.0	0.0	0.0	1.5	0.0	7
BLDP	3.6	2.0	1.5	0.0	0.0	1.0	0.5	0.0	7
BLTE	3.9	1.5	0.5	0.0	1.0	1.5	0.0	1.0	6
BLLN	1.8	1.0	0.0	0.0	0.0	0.5	0.5	0.5	6
BMEA	1.4	0.0	0.0	0.0	0.0	1.5	0.5	0.0	7
BOOM	2.1	1.5	0.5	0.0	0.0	0.5	0.5	0.0	7
BNGO	2.5	1.5	0.0	0.0	0.0	1.5	0.5	0.0	7
BRZE	1.8	1.0	0.0	0.0	0.0	1.0	0.5	0.0	7
BRCB	3.9	1.0	1.5	0.0	1.5	1.0	0.5	0.0	6
BVS	2.9	0.5	0.5	0.0	1.0	1.0	0.0	1.0	7
BTSG	3.9	2.0	0.5	0.0	1.0	1.0	0.5	0.5	7
BWMN	3.6	1.5	1.0	0.0	1.0	0.5	1.0	0.0	7
BTBT	3.6	2.0	1.5	0.0	1.0	0.5	0.0	0.0	7
BZUN	2.1	0.5	0.5	0.0	0.5	1.0	0.0	0.5	7
ACCB.BR	2.1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4
AGFB.BR	3.6	0.5	1.5	0.0	1.0	1.0	1.0	0.0	5
BANI.BR	5.0	0.0	0.0	2.0	1.5	1.0	1.0	1.5	5
CENER.BR	3.6	1.0	0.0	0.0	0.5	1.0	1.0	1.5	5
ASCE.BR	1.8	0.0	0.0	0.0	0.5	1.0	1.0	0.0	5
BEKB.BR	2.9	1.0	0.0	0.0	0.5	1.0	1.0	0.5	5
BPOST.BR	5.4	0.5	2.0	0.0	2.0	1.0	1.0	1.0	5
DEME.BR	3.9	1.0	0.5	0.0	0.5	1.0	1.0	1.5	5
COMB.BR	3.2	0.0	0.0	1.0	0.5	1.0	1.0	1.0	5
EKOP.BR	5.0	0.0	1.5	0.0	1.5	1.0	1.0	2.0	5
FAGR.BR	2.1	0.0	0.0	0.0	1.0	1.0	1.0	0.0	5
HYSG.BR	2.9	0.0	0.0	0.0	0.0	1.0	1.0	2.0	5
KBC.BR	3.9	0.5	1.5	0.0	1.0	1.0	1.0	0.5	4
IMMO.BR	5.4	1.0	2.0	0.0	1.5	1.0	1.0	1.0	5
LOTB.BR	3.6	0.5	1.0	0.0	0.5	1.0	1.0	1.0	5
NEXTA.BR	3.9	0.5	0.5	0.0	0.5	1.0	1.0	2.0	5
GIMB.BR	2.5	0.5	0.0	1.0	0.0	1.0	1.0	0.0	5
ONTEX.BR	3.6	0.0	2.0	0.0	0.5	1.0	1.0	0.5	5
SHUR.BR	4.6	1.0	1.5	0.0	0.5	1.0	1.0	1.5	5
RECT.BR	3.2	1.0	0.5	0.0	0.5	1.0	1.0	0.5	5
TEXF.BR	2.5	0.0	0.5	0.0	0.0	1.0	1.0	1.0	4
PROX.BR	3.2	0.0	0.5	0.0	1.0	1.0	1.0	1.0	5
TUB.BR	3.2	0.0	0.5	0.0	1.0	1.0	1.0	1.0	4
VAN.BR	2.9	0.0	0.5	0.0	0.0	1.0	1.0	1.5	5
