IR	6.5	2.0	0.0	1.0	1.0	1.5	1.0	1.5	1.5	1.0	1.5	2.0	1.5	1.0	1.5	2.0	1.5	0.5	1.5	18
KLAC	6.2	1.0	0.0	1.0	1.5	2.0	1.5	2.0	2.0	0.5	2.0	2.0	0.0	0.0	0.5	2.0	2.0	0.5	2.0	18
KEMPOWR.HE	4.0	1.0	1.0	1.0	0.0	0.5	1.5	1.5	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	15
GOOG.24-7	6.5	1.5	1.0	1.0	1.0	2.0	2.0	2.0	2.0	0.5	1.5	0.0	0.5	0.5	1.0	2.0	2.0	1.0	2.0	17
MTCH	8.2	2.0	2.0	1.0	2.0	2.0	0.5	2.0	2.0	2.0	1.5	2.0	1.0	1.5	1.5	2.0	1.5	1.0	2.0	17
WMK	5.7	1.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	1.0	1.5	2.0	2.0	2.0	0.5	1.5	0.5	14
FORTUM.HE	6.0	0.0	1.0	1.0	0.5	1.5	1.5	1.5	1.0	1.0	1.5	1.5	1.5	1.0	1.5	1.0	1.5	1.5	1.5	17
HDB	6.1	1.5	1.0	2.0	1.0	2.0	1.5	0.0	2.0	1.0	0.5	1.0	0.5	1.0	2.0	2.0	0.0	2.0	1.0	14
ANDE	4.9	2.0	0.0	1.0	2.0	1.0	0.5	0.0	0.5	0.0	0.5	1.5	1.5	1.5	2.0	2.0	0.5	0.5	0.5	18
HRI	6.8	2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.5	2.0	1.5	1.0	1.5	0.0	1.0	0.0	2.0	18
PXS.L	3.1	1.0	1.0	1.0	1.0	0.0	0.0	1.5	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	0.0	11
HIGH.DE	4.7	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.5	1.0	0.5	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	9
SYR.ASX	4.2	1.0	1.0	1.0	1.0	0.5	2.0	0.0	0.0	0.0	0.5	1.0	2.0	1.0	1.0	1.0	0.0	2.0	0.0	14
RTO.US	6.5	2.0	2.0	1.0	1.0	1.0	1.0	0.5	1.0	2.0	0.5	2.0	1.5	1.5	1.5	1.0	1.0	2.0	1.0	17
LBRT	5.1	0.5	0.0	1.0	1.5	1.0	1.5	0.5	0.5	0.0	1.5	0.0	1.5	1.5	2.0	2.0	1.0	1.5	1.0	18
22UA.DE	5.3	2.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.5	1.0	1.5	1.0	0.0	2.0	2.0	15
MRK	5.4	0.5	1.0	1.0	0.5	1.0	1.0	2.0	0.0	1.0	2.0	2.0	0.5	1.5	1.0	0.0	2.0	0.5	2.0	18
SMNR	4.0	1.0	1.0	1.0	1.0	0.5	1.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	8
LKQ	6.5	2.0	2.0	1.0	0.0	1.0	0.5	1.5	0.5	2.0	1.0	2.0	2.0	2.0	2.0	1.5	1.0	0.5	1.0	18
CPRT	6.1	0.5	0.0	0.5	0.5	2.0	1.0	1.5	2.0	1.0	1.5	1.5	1.0	1.5	1.0	1.0	2.0	1.5	2.0	18
ODC	5.7	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	1.0	1.0	1.5	12
BTG.L	5.3	1.0	1.0	1.0	1.0	1.0	1.5	1.5	1.5	1.5	0.5	0.0	0.0	2.0	2.0	1.0	1.0	0.5	1.0	16
TMDX	5.6	2.0	0.0	1.0	0.0	2.0	2.0	2.0	1.0	0.5	1.5	0.0	1.0	0.5	1.5	1.0	1.0	1.5	1.5	18
MFLTY	3.9	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	12
PGR	6.0	0.0	1.0	1.0	2.0	1.5	1.0	0.5	1.5	2.0	2.0	0.0	1.0	1.5	2.0	1.5	1.0	0.5	1.5	18
SDG.L	6.2	2.0	1.0	1.0	1.0	1.0	1.0	2.0	0.5	2.0	0.5	2.0	0.0	1.5	2.0	2.0	0.5	1.5	1.0	16
VTU.L	5.1	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	2.0	0.5	0.0	0.0	2.0	2.0	2.0	0.5	2.0	0.5	16
GGG	6.4	1.0	0.0	1.0	1.5	2.0	1.0	2.0	2.0	1.0	1.0	1.5	1.0	1.0	1.0	2.0	1.5	0.5	2.0	18
